op,device,dtype,n,iters,avg_ns,bandwidth_GBs
asum,NVIDIA A100-PCIE-40GB,float64,1000,100,16437,0.4866914230370518
asum,NVIDIA A100-PCIE-40GB,float64,2000,100,16638,0.9616135875999927
asum,NVIDIA A100-PCIE-40GB,float64,3000,100,16617,1.4442379719047576
asum,NVIDIA A100-PCIE-40GB,float64,4000,100,16569,1.9312778903685965
asum,NVIDIA A100-PCIE-40GB,float64,5000,100,17326,2.3086250810183113
asum,NVIDIA A100-PCIE-40GB,float64,6000,100,16591,2.893068569341429
asum,NVIDIA A100-PCIE-40GB,float64,7000,100,16595,3.374321294437853
asum,NVIDIA A100-PCIE-40GB,float64,8000,100,16573,3.8614837509970474
asum,NVIDIA A100-PCIE-40GB,float64,9000,100,16675,4.317755630623202
asum,NVIDIA A100-PCIE-40GB,float64,10000,100,16716,4.785693647410431
asum,NVIDIA A100-PCIE-40GB,float64,11000,100,16690,5.272507766463855
asum,NVIDIA A100-PCIE-40GB,float64,12000,100,16315,5.883953722703971
asum,NVIDIA A100-PCIE-40GB,float64,13000,100,16442,6.325099148970073
asum,NVIDIA A100-PCIE-40GB,float64,14000,100,16372,6.840893640595329
asum,NVIDIA A100-PCIE-40GB,float64,15000,100,16427,7.3047886542022615
asum,NVIDIA A100-PCIE-40GB,float64,16000,100,16361,7.823391819299207
asum,NVIDIA A100-PCIE-40GB,float64,17000,100,16379,8.303244248477027
asum,NVIDIA A100-PCIE-40GB,float64,18000,100,16464,8.74630256133041
asum,NVIDIA A100-PCIE-40GB,float64,19000,100,16728,9.08617037047664
asum,NVIDIA A100-PCIE-40GB,float64,20000,100,16627,9.622763609594857
asum,NVIDIA A100-PCIE-40GB,float64,21000,100,16538,10.157937793514519
asum,NVIDIA A100-PCIE-40GB,float64,22000,100,16508,10.661310165983272
asum,NVIDIA A100-PCIE-40GB,float64,23000,100,16409,11.212962184285033
asum,NVIDIA A100-PCIE-40GB,float64,24000,100,16518,11.623436965556488
asum,NVIDIA A100-PCIE-40GB,float64,25000,100,16524,12.103504327607972
asum,NVIDIA A100-PCIE-40GB,float64,26000,100,16418,12.668311923074114
asum,NVIDIA A100-PCIE-40GB,float64,27000,100,16584,13.024201498868523
asum,NVIDIA A100-PCIE-40GB,float64,28000,100,16486,13.586651600040517
asum,NVIDIA A100-PCIE-40GB,float64,29000,100,16467,14.088449960801318
asum,NVIDIA A100-PCIE-40GB,float64,30000,100,16653,14.411800382152906
asum,NVIDIA A100-PCIE-40GB,float64,31000,100,16506,15.024593684702843
asum,NVIDIA A100-PCIE-40GB,float64,32000,100,16773,15.262460666373341
asum,NVIDIA A100-PCIE-40GB,float64,33000,100,16619,15.884514764175126
asum,NVIDIA A100-PCIE-40GB,float64,34000,100,16687,16.299742679797546
asum,NVIDIA A100-PCIE-40GB,float64,35000,100,16866,16.600629756747413
asum,NVIDIA A100-PCIE-40GB,float64,36000,100,16538,17.414292054608318
asum,NVIDIA A100-PCIE-40GB,float64,37000,100,16586,17.845741650333192
asum,NVIDIA A100-PCIE-40GB,float64,38000,100,16630,18.279491012383154
asum,NVIDIA A100-PCIE-40GB,float64,39000,100,16619,18.773071473054326
asum,NVIDIA A100-PCIE-40GB,float64,40000,100,16700,19.161458642087307
asum,NVIDIA A100-PCIE-40GB,float64,41000,100,16795,19.52924981482937
asum,NVIDIA A100-PCIE-40GB,float64,42000,100,16919,19.85839076112011
asum,NVIDIA A100-PCIE-40GB,float64,43000,100,16843,20.423902853468594
asum,NVIDIA A100-PCIE-40GB,float64,44000,100,16758,21.004517164628872
asum,NVIDIA A100-PCIE-40GB,float64,45000,100,16712,21.541123800428668
