op,device,dtype,n,iters,avg_ns,bandwidth_GBs
gemv,NVIDIA H100 NVL,float64,1000,100,4679282,1.7147928127870031
gemv,NVIDIA H100 NVL,float64,11000,100,11900632,81.36239865363189
gemv,NVIDIA H100 NVL,float64,21000,100,18626890,189.43065480555774
gemv,NVIDIA H100 NVL,float64,31000,100,25730318,298.82039962994924
gemv,NVIDIA H100 NVL,float64,41000,100,32721164,411.0178963003774
gbmv,NVIDIA H100 NVL,float64,1000,100,4672153,0.041094537334615114
gbmv,NVIDIA H100 NVL,float64,11000,100,4718407,0.4476086390832548
gbmv,NVIDIA H100 NVL,float64,21000,100,4435762,0.9089755512561923
gbmv,NVIDIA H100 NVL,float64,31000,100,4722156,1.2604409596790782
gbmv,NVIDIA H100 NVL,float64,41000,100,4548700,1.7306043256674966
ger,NVIDIA H100 NVL,float64,1000,100,4718369,3.394393065829741
ger,NVIDIA H100 NVL,float64,11000,100,5483293,353.10460273944034
ger,NVIDIA H100 NVL,float64,21000,100,12120152,582.1986112323349
ger,NVIDIA H100 NVL,float64,31000,100,20371371,754.8090589243346
ger,NVIDIA H100 NVL,float64,41000,100,39020397,689.2973312775846
sbmv,NVIDIA H100 NVL,float64,1000,100,4571116,0.024501671710776964
sbmv,NVIDIA H100 NVL,float64,11000,100,4718030,0.2611259000617132
sbmv,NVIDIA H100 NVL,float64,21000,100,4425069,0.5315171356650031
sbmv,NVIDIA H100 NVL,float64,31000,100,4720106,0.7355765825940768
sbmv,NVIDIA H100 NVL,float64,41000,100,4582723,1.002024132389593
symv,NVIDIA H100 NVL,float64,1000,100,4859722,1.651123087071583
symv,NVIDIA H100 NVL,float64,11000,100,18404444,52.610334851433464
symv,NVIDIA H100 NVL,float64,21000,100,32013024,110.22088944355994
symv,NVIDIA H100 NVL,float64,31000,100,45304168,169.71383254034106
symv,NVIDIA H100 NVL,float64,41000,100,58946872,228.154327986367
syr,NVIDIA H100 NVL,float64,1000,100,5039006,1.5892022013641594
syr,NVIDIA H100 NVL,float64,11000,100,26853762,36.05036732424449
syr,NVIDIA H100 NVL,float64,21000,100,68575209,51.44961333843099
syr,NVIDIA H100 NVL,float64,31000,100,151380869,50.78744759178372
syr,NVIDIA H100 NVL,float64,41000,100,244971502,54.897520138144934
syr2,NVIDIA H100 NVL,float64,1000,100,5065898,1.5823452185231677
syr2,NVIDIA H100 NVL,float64,11000,100,26813463,36.10783031632172
syr2,NVIDIA H100 NVL,float64,21000,100,53349576,66.13615750160164
syr2,NVIDIA H100 NVL,float64,31000,100,79492258,96.72005988987722
syr2,NVIDIA H100 NVL,float64,41000,100,106364168,126.43972299058962
trsv,NVIDIA H100 NVL,float64,1000,100,114647582,0.03502908576986856
trsv,NVIDIA H100 NVL,float64,11000,100,13919958183,0.03478286311068432
