op,device,dtype,n,iters,avg_ns,bandwidth_GBs
asum,AMD Instinct MI300A,float32,1000,100,17549,0.22792931911814146
asum,AMD Instinct MI300A,float32,2000,100,15934,0.5020590697598526
asum,AMD Instinct MI300A,float32,3000,100,15730,0.7628312992224842
asum,AMD Instinct MI300A,float32,4000,100,17761,0.9007999666704012
asum,AMD Instinct MI300A,float32,5000,100,18077,1.1063293099824094
asum,AMD Instinct MI300A,float32,6000,100,20124,1.1925981396462852
asum,AMD Instinct MI300A,float32,7000,100,20783,1.3472530232598423
asum,AMD Instinct MI300A,float32,8000,100,21804,1.467577543128435
asum,AMD Instinct MI300A,float32,9000,100,22124,1.627129675455427
asum,AMD Instinct MI300A,float32,10000,100,24104,1.6594088273082273
asum,AMD Instinct MI300A,float32,11000,100,24771,1.7762290495802042
asum,AMD Instinct MI300A,float32,12000,100,26152,1.8353963060355096
asum,AMD Instinct MI300A,float32,13000,100,28065,1.8528204916245388
asum,AMD Instinct MI300A,float32,14000,100,30701,1.824006795728176
asum,AMD Instinct MI300A,float32,15000,100,31462,1.9070473345040484
asum,AMD Instinct MI300A,float32,16000,100,33530,1.9086883493663156
asum,AMD Instinct MI300A,float32,17000,100,34948,1.9457262552008834
asum,AMD Instinct MI300A,float32,18000,100,38068,1.8913314500575544
asum,AMD Instinct MI300A,float32,19000,100,38463,1.9759233736915682
asum,AMD Instinct MI300A,float32,20000,100,40953,1.9534369013021122
asum,AMD Instinct MI300A,float32,21000,100,42671,1.9685191603703347
asum,AMD Instinct MI300A,float32,22000,100,45411,1.9378475050543689
asum,AMD Instinct MI300A,float32,23000,100,46193,1.9916127127237209
asum,AMD Instinct MI300A,float32,24000,100,49130,1.9539697643532818
asum,AMD Instinct MI300A,float32,25000,100,50912,1.9641395261866939
asum,AMD Instinct MI300A,float32,26000,100,54677,1.902075310477216
asum,AMD Instinct MI300A,float32,27000,100,55689,1.9393406564991347
asum,AMD Instinct MI300A,float32,28000,100,58757,1.9061474275689505
asum,AMD Instinct MI300A,float32,29000,100,60806,1.9076945544201118
asum,AMD Instinct MI300A,float32,30000,100,64889,1.8493081969198848
asum,AMD Instinct MI300A,float32,31000,100,67060,1.8490752014410856
asum,AMD Instinct MI300A,float32,32000,100,69919,1.8306641392059895
asum,AMD Instinct MI300A,float32,33000,100,72408,1.822992408893883
asum,AMD Instinct MI300A,float32,34000,100,76506,1.7776183730452406
asum,AMD Instinct MI300A,float32,35000,100,79827,1.7537730234382995
asum,AMD Instinct MI300A,float32,36000,100,121827,1.181998458969509
asum,AMD Instinct MI300A,float32,37000,100,85593,1.7290998271250666
asum,AMD Instinct MI300A,float32,38000,100,90061,1.687737289478368
asum,AMD Instinct MI300A,float32,39000,100,92773,1.681508312956722
asum,AMD Instinct MI300A,float32,40000,100,97196,1.6461464226666132
asum,AMD Instinct MI300A,float32,41000,100,98352,1.6674799020375894
asum,AMD Instinct MI300A,float32,42000,100,104275,1.6111201044005827
asum,AMD Instinct MI300A,float32,43000,100,105616,1.628538200440671
